GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,JMBE001,JMBE002,JMBE003,JMBE004,JMBE005,JMBE006,JMBE007,JMBE008,JMBE009,JMBE010,JOIE001,JS5E001,NAME_M,JMBM001,JMBM002,JMBM003,JMBM004,JMBM005,JMBM006,JMBM007,JMBM008,JMBM009,JMBM010,JOIM001,JS5M001
"G4200010030101","2006-2010","PA",,,"Pennsylvania","42","Adams County","001",,,"030101",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42001030101",,,"Census Tract 301.01, Adams County, Pennsylvania",2597,2497,23,0,0,0,69,8,0,8,70729,807,"Census Tract 301.01, Adams County, Pennsylvania",18,92,40,109,109,109,89,12,109,12,11768,447
"G4200010030102","2006-2010","PA",,,"Pennsylvania","42","Adams County","001",,,"030102",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42001030102",,,"Census Tract 301.02, Adams County, Pennsylvania",5709,5393,40,0,0,0,267,9,0,9,62372,720,"Census Tract 301.02, Adams County, Pennsylvania",29,199,63,109,109,109,187,14,109,14,5307,228
"G4200010030200","2006-2010","PA",,,"Pennsylvania","42","Adams County","001",,,"030200",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42001030200",,,"Census Tract 302, Adams County, Pennsylvania",5656,5051,70,0,10,0,392,133,41,92,52424,720,"Census Tract 302, Adams County, Pennsylvania",241,278,58,109,16,109,140,84,48,72,2920,48
"G4200010030300","2006-2010","PA",,,"Pennsylvania","42","Adams County","001",,,"030300",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42001030300",,,"Census Tract 303, Adams County, Pennsylvania",3932,3609,52,0,12,0,259,0,0,0,52731,734,"Census Tract 303, Adams County, Pennsylvania",139,243,67,109,20,109,196,109,109,109,6518,115
"G4200010030400","2006-2010","PA",,,"Pennsylvania","42","Adams County","001",,,"030400",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42001030400",,,"Census Tract 304, Adams County, Pennsylvania",5661,5152,103,0,71,0,273,62,0,62,57194,638,"Census Tract 304, Adams County, Pennsylvania",211,297,115,109,83,109,146,63,109,63,4899,134
"G4200010030500","2006-2010","PA",,,"Pennsylvania","42","Adams County","001",,,"030500",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42001030500",,,"Census Tract 305, Adams County, Pennsylvania",3676,3224,46,0,16,0,326,64,0,64,52039,705,"Census Tract 305, Adams County, Pennsylvania",155,193,38,109,14,109,184,50,109,50,8935,115
"G4200010030600","2006-2010","PA",,,"Pennsylvania","42","Adams County","001",,,"030600",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42001030600",,,"Census Tract 306, Adams County, Pennsylvania",4917,4161,40,0,23,0,641,52,0,52,60964,797,"Census Tract 306, Adams County, Pennsylvania",18,313,44,109,26,109,304,65,109,65,2889,68
"G4200010030700","2006-2010","PA",,,"Pennsylvania","42","Adams County","001",,,"030700",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42001030700",,,"Census Tract 307, Adams County, Pennsylvania",6647,6340,28,0,65,0,100,114,10,104,49135,745,"Census Tract 307, Adams County, Pennsylvania",280,289,28,109,79,109,116,105,10,105,6290,130
"G4200010030800","2006-2010","PA",,,"Pennsylvania","42","Adams County","001",,,"030800",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42001030800",,,"Census Tract 308, Adams County, Pennsylvania",7315,6760,142,0,210,11,82,110,10,100,56649,729,"Census Tract 308, Adams County, Pennsylvania",319,287,129,109,195,19,114,53,16,49,2897,101
"G4200010030900","2006-2010","PA",,,"Pennsylvania","42","Adams County","001",,,"030900",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42001030900",,,"Census Tract 309, Adams County, Pennsylvania",7223,6664,52,0,28,0,430,49,49,0,48582,755,"Census Tract 309, Adams County, Pennsylvania",221,438,66,109,37,109,247,57,57,109,4453,127
