GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,AMPWE001,AMPWE002,AMPWE003,AMPWE004,AMPWE005,AMPWE006,AMPWE007,AMPWE008,AMPWE009,AMPWE010,AMR8E001,AMVZE001,NAME_M,AMPWM001,AMPWM002,AMPWM003,AMPWM004,AMPWM005,AMPWM006,AMPWM007,AMPWM008,AMPWM009,AMPWM010,AMR8M001,AMVZM001
"G4200010030101","2016-2020","PA",,,"Pennsylvania","42","Adams County","001",,,"030101",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42001030101",,,"Census Tract 301.01, Adams County, Pennsylvania",2697,2436,35,0,2,0,71,153,40,113,71157,1017,"Census Tract 301.01, Adams County, Pennsylvania",23,163,54,11,4,11,66,122,52,93,11166,444
"G4200010030103","2016-2020","PA",,,"Pennsylvania","42","Adams County","001",,,"030103",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42001030103",,,"Census Tract 301.03, Adams County, Pennsylvania",2347,2336,0,0,0,0,0,11,0,11,97922,,"Census Tract 301.03, Adams County, Pennsylvania",335,338,11,11,11,11,11,18,11,18,5760,
"G4200010030104","2016-2020","PA",,,"Pennsylvania","42","Adams County","001",,,"030104",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42001030104",,,"Census Tract 301.04, Adams County, Pennsylvania",3526,3415,31,0,0,0,0,80,0,80,63859,977,"Census Tract 301.04, Adams County, Pennsylvania",336,377,50,11,11,11,11,89,11,89,12727,243
"G4200010030200","2016-2020","PA",,,"Pennsylvania","42","Adams County","001",,,"030200",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42001030200",,,"Census Tract 302, Adams County, Pennsylvania",5778,5021,169,12,33,0,487,56,39,17,60625,844,"Census Tract 302, Adams County, Pennsylvania",437,378,198,18,41,15,216,57,55,16,3120,73
"G4200010030300","2016-2020","PA",,,"Pennsylvania","42","Adams County","001",,,"030300",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42001030300",,,"Census Tract 303, Adams County, Pennsylvania",4306,4041,40,0,19,0,166,40,8,32,80529,1033,"Census Tract 303, Adams County, Pennsylvania",225,180,55,11,30,11,135,34,12,31,7587,158
"G4200010030400","2016-2020","PA",,,"Pennsylvania","42","Adams County","001",,,"030400",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42001030400",,,"Census Tract 304, Adams County, Pennsylvania",5798,5383,33,0,151,0,198,33,0,33,80150,929,"Census Tract 304, Adams County, Pennsylvania",207,274,34,15,157,15,112,36,15,36,12886,109
"G4200010030500","2016-2020","PA",,,"Pennsylvania","42","Adams County","001",,,"030500",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42001030500",,,"Census Tract 305, Adams County, Pennsylvania",3879,3383,57,0,0,0,297,142,44,98,57281,782,"Census Tract 305, Adams County, Pennsylvania",214,241,87,11,11,11,169,69,54,63,7468,64
"G4200010030600","2016-2020","PA",,,"Pennsylvania","42","Adams County","001",,,"030600",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42001030600",,,"Census Tract 306, Adams County, Pennsylvania",4946,4683,111,7,7,0,51,87,37,50,66399,788,"Census Tract 306, Adams County, Pennsylvania",37,155,67,12,15,11,63,84,51,66,10703,99
"G4200010030700","2016-2020","PA",,,"Pennsylvania","42","Adams County","001",,,"030700",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42001030700",,,"Census Tract 307, Adams County, Pennsylvania",6479,6209,149,0,4,0,14,103,18,85,76310,970,"Census Tract 307, Adams County, Pennsylvania",243,263,100,15,6,15,21,64,32,59,8195,136
"G4200010030801","2016-2020","PA",,,"Pennsylvania","42","Adams County","001",,,"030801",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42001030801",,,"Census Tract 308.01, Adams County, Pennsylvania",3190,3058,77,0,32,0,9,14,5,9,68182,1033,"Census Tract 308.01, Adams County, Pennsylvania",398,387,83,11,29,11,12,10,7,9,11490,127
"G4200010030802","2016-2020","PA",,,"Pennsylvania","42","Adams County","001",,,"030802",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42001030802",,,"Census Tract 308.02, Adams County, Pennsylvania",1570,1491,27,0,3,0,6,43,23,20,60250,900,"Census Tract 308.02, Adams County, Pennsylvania",145,145,24,11,5,11,11,41,34,17,6058,45
"G4200010030803","2016-2020","PA",,,"Pennsylvania","42","Adams County","001",,,"030803",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42001030803",,,"Census Tract 308.03, Adams County, Pennsylvania",2563,2510,17,1,0,0,35,0,0,0,80667,1196,"Census Tract 308.03, Adams County, Pennsylvania",17,56,29,2,11,11,46,11,11,11,13487,570
"G4200010030901","2016-2020","PA",,,"Pennsylvania","42","Adams County","001",,,"030901",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42001030901",,,"Census Tract 309.01, Adams County, Pennsylvania",3445,3073,123,1,21,0,75,152,2,150,60327,836,"Census Tract 309.01, Adams County, Pennsylvania",448,455,135,3,22,11,48,92,3,92,7669,92
"G4200010030902","2016-2020","PA",,,"Pennsylvania","42","Adams County","001",,,"030902",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42001030902",,,"Census Tract 309.02, Adams County, Pennsylvania",3904,3778,18,0,0,0,0,108,99,9,56699,1206,"Census Tract 309.02, Adams County, Pennsylvania",429,419,30,11,11,11,11,135,135,12,5964,269
"G4200010031000","2016-2020","PA",,,"Pennsylvania","42","Adams County","001",,,"031000",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42001031000",,,"Census Tract 310, Adams County, Pennsylvania",1852,1837,0,0,0,0,1,14,0,14,74716,1212,"Census Tract 310, Adams County, Pennsylvania",211,210,11,11,11,11,2,22,11,22,10813,477
"G4200010031101","2016-2020","PA",,,"Pennsylvania","42","Adams County","001",,,"031101",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42001031101",,,"Census Tract 311.01, Adams County, Pennsylvania",5114,4791,30,0,45,0,177,71,0,71,51393,890,"Census Tract 311.01, Adams County, Pennsylvania",307,296,46,15,61,15,178,59,15,59,10369,67
